battery,capacity,connectivity,display,fast_charge_point,features,front_camera,in_store,launch_date,oper_sys,perform,prod_brand,prod_name,prod_no_of_ratings,prod_price,prod_star,prod_url,product_availability,ram,rear_camera,refresh_rate
4800 mah battery with super charging,4800,dual sim: nano + nano (hybrid) with volte support,19.94,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,8.0,256.0,,harmonyos,qualcomm snapdragon 8 plus gen 1 octa core processor,huawei,huawei mate x3,0,156499,0.0,https://pricebaba.com/mobile/huawei-mate-x3,in stock,12.0,50.0,120
"4500 mah battery with turbo charging, charges upto 100% in 40 minutes",4500,dual sim: nano + nano with volte support,16.64,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,android v12,qualcomm snapdragon 7 gen 1 octa core processor,xiaomi,xiaomi 13 lite 5g,0,43790,0.0,https://pricebaba.com/mobile/xiaomi-13-lite-5g,in stock,8.0,50.0,120
"4810 mah battery with fast charging, charges upto 50% in 8 minutes",4810,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,mediatek dimensity 9200 plus mt6985 octa core processor,vivo,vivo x90s,0,45390,0.0,https://pricebaba.com/mobile/vivo-x90s,in stock,8.0,50.0,120
5800 mah battery with fast charging,5800,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,8.0,128.0,,android v13,qualcomm snapdragon 6 gen 1 octa core processor,honor,honor x50,0,15890,0.0,https://pricebaba.com/mobile/honor-x50,in stock,8.0,108.0,120
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.58,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,64.0,256.0,,android v13,samsung exynos 2200 octa core processor,samsung,samsung galaxy s25 ultra,0,97990,0.0,https://pricebaba.com/mobile/samsung-galaxy-s25-ultra,in stock,12.0,108.0,60
5500 mah battery with super dart charging,5500,dual sim: nano + nano with volte support,17.07,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,256.0,,android v13,qualcomm snapdragon 8 gen 2 octa core processor,realme,realme gt neo 6 se,0,35990,0.0,https://pricebaba.com/mobile/realme-gt-neo-6-se,in stock,8.0,108.0,144
4700 mah battery with fast charging,4700,dual sim: nano + nano with volte support,16.64,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,32.0,128.0,,flyme os v10,qualcomm snapdragon 8 gen 2 octa core processor,meizu,meizu 20,0,35990,0.0,https://pricebaba.com/mobile/meizu-20,in stock,12.0,50.0,144
4815 mah battery with super charging,4815,dual sim: nano + nano (hybrid) with volte support,16.94,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,13.0,128.0,,harmonyos,qualcomm snapdragon 8 plus gen 1 octa core processor,huawei,huawei p60,0,54090,0.0,https://pricebaba.com/mobile/huawei-p60,in stock,8.0,48.0,120
4500 mah battery with fast charging,4500,dual sim: nano + nano (hybrid) with volte support,16.26,Yes,on-screen fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,qualcomm snapdragon 695 octa core processor,oppo,oppo reno9a,0,23790,0.0,https://pricebaba.com/mobile/oppo-reno9a,in stock,8.0,48.0,90
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,17.09,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,128.0,,android v14,mediatek dimensity 6020 octa core processor,xiaomi,xiaomi redmi note 15,0,15990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-note-15,in stock,8.0,64.0,120
5800 mah battery with fast charging,5800,dual sim: nano + nano with volte support,17.07,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,24.0,256.0,,android v13,qualcomm snapdragon 8 plus gen 1 octa core processor,xiaomi,xiaomi redmi k70,0,31990,0.0,https://pricebaba.com/mobile/xiaomi-redmi-k70,in stock,8.0,108.0,60
5000 mah battery with fast charging,5000,dual sim: nano + nano with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,16.0,128.0,,android v13,samsung exynos 1280 octa core processor,samsung,samsung galaxy a16,0,16990,0.0,https://pricebaba.com/mobile/samsung-galaxy-a16,in stock,4.0,50.0,60
5000 mah battery with super charging,5000,dual sim: nano + nano with volte support,17.27,Yes,side fingerprint sensor |face unlock|no 3.5 mm headphone jack present,16.0,128.0,20,,qualcomm snapdragon 680 octa core processor,huawei,huawei nova 11i,0,26190,0.0,https://pricebaba.com/mobile/huawei-nova-11i,in stock,8.0,48.0,90
5500 mah battery with fast charging,5500,dual sim: nano + nano with volte support,17.15,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,256.0,,android v13,qualcomm snapdragon 8 gen 1 octa core processor,samsung,samsung galaxy a76,0,41990,0.0,https://pricebaba.com/mobile/samsung-galaxy-a76,in stock,12.0,108.0,60
"4600 mah battery with flash charging, charges upto 70% in 30 minutes",4600,dual sim: nano + nano with volte support,17.22,Yes,on-screen fingerprint sensor |face unlock|no 3.5 mm headphone jack present,50.0,512.0,,android v13,mediatek dimensity 8050 octa core processor,vivo,vivo s17t,0,34890,0.0,https://pricebaba.com/mobile/vivo-s17t,in stock,12.0,50.0,120
6000 mah battery with fast charging,6000,dual sim: nano + nano with volte support,17.15,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,8.0,128.0,20,harmonyos,octa core processor,huawei,huawei enjoy 60,0,15090,0.0,https://pricebaba.com/mobile/huawei-enjoy-60,in stock,8.0,48.0,60
1450 mah battery,1450,dual sim: nano + nano with volte support,4.57,No,3.5 mm headphone jack present,0.0,0.0,20,,,nokia,nokia 110 4g 2023,0,2499,0.0,https://pricebaba.com/mobile/nokia-110-4g-2023,in stock,0.0,0.08,60
5000 mah battery with fast charging,5000,dual sim: nano + nano (hybrid) with volte support,16.94,Yes,side fingerprint sensor |face unlock|3.5 mm headphone jack present,32.0,128.0,,android v14,mediatek dimensity 7200 octa core processor,lava,lava agni 3 5g,0,21990,0.0,https://pricebaba.com/mobile/lava-agni-3-5g,in stock,8.0,64.0,120
